dataset,noise_type,seed,score,residual_auc,residual_direction,residual_spearman,residual_spearman_p
CiteSeer,low_feature_similarity,0,raw_grad,0.7863314519399757,negative,-0.4194074698506318,0.0
CiteSeer,low_feature_similarity,0,pos_grad,0.848931556873121,negative,-0.5115180760315431,0.0
CiteSeer,low_feature_similarity,0,hybrid,0.6416230518163734,negative,-0.20667619669608844,2.4502798376653497e-114
CiteSeer,low_feature_similarity,1,raw_grad,0.7926851176796256,negative,-0.4288029484269574,0.0
CiteSeer,low_feature_similarity,1,pos_grad,0.8539253164088401,negative,-0.5189883293548777,0.0
CiteSeer,low_feature_similarity,1,hybrid,0.6361870481598073,negative,-0.19874321866954128,1.056059978577413e-105
CiteSeer,low_feature_similarity,2,raw_grad,0.785824248247359,negative,-0.41862034939726267,0.0
CiteSeer,low_feature_similarity,2,pos_grad,0.838036354023832,negative,-0.4954489011561214,0.0
CiteSeer,low_feature_similarity,2,hybrid,0.6605265487295364,negative,-0.2342628275243474,3.0088977991109525e-147
CiteSeer,low_feature_similarity,3,raw_grad,0.7986324692442883,negative,-0.43745968347615377,0.0
CiteSeer,low_feature_similarity,3,pos_grad,0.8377523143230525,negative,-0.4950379172462315,0.0
CiteSeer,low_feature_similarity,3,hybrid,0.6715346311567753,negative,-0.25032736349787493,1.5830802107065913e-168
CiteSeer,low_feature_similarity,4,raw_grad,0.7822499227486046,negative,-0.41336191885157464,0.0
CiteSeer,low_feature_similarity,4,pos_grad,0.8370380809143989,negative,-0.49399906330852256,0.0
CiteSeer,low_feature_similarity,4,hybrid,0.6462414782054501,negative,-0.21341605147793097,5.819646862806374e-122
CiteSeer,low_feature_similarity,5,raw_grad,0.7722031977249464,negative,-0.3985873044178347,0.0
CiteSeer,low_feature_similarity,5,pos_grad,0.8353050746119727,negative,-0.491393380560697,0.0
CiteSeer,low_feature_similarity,5,hybrid,0.6517573887740848,negative,-0.22146564087876816,2.0335842746797234e-131
CiteSeer,low_feature_similarity,6,raw_grad,0.7918830510438595,negative,-0.4275186252262866,0.0
CiteSeer,low_feature_similarity,6,pos_grad,0.83921465909603,negative,-0.49723794606346405,0.0
CiteSeer,low_feature_similarity,6,hybrid,0.6588722422861263,negative,-0.2318486318025304,3.468392270864443e-144
CiteSeer,low_feature_similarity,7,raw_grad,0.7858398393492858,negative,-0.41865715411435295,0.0
CiteSeer,low_feature_similarity,7,pos_grad,0.8523533309836033,negative,-0.5166240411506113,0.0
CiteSeer,low_feature_similarity,7,hybrid,0.6343177253326638,negative,-0.19601524093006056,8.103591864460356e-103
CiteSeer,low_feature_similarity,8,raw_grad,0.7693983886646452,negative,-0.39442343686241244,0.0
CiteSeer,low_feature_similarity,8,pos_grad,0.8354629772687769,negative,-0.4915783844257171,0.0
CiteSeer,low_feature_similarity,8,hybrid,0.6472271577280364,negative,-0.21485449311162033,1.2680471311038558e-123
CiteSeer,low_feature_similarity,9,raw_grad,0.734911836845053,negative,-0.34382869268997984,0.0
CiteSeer,low_feature_similarity,9,pos_grad,0.8194336346137752,negative,-0.4680291702346394,0.0
CiteSeer,low_feature_similarity,9,hybrid,0.6017449963627468,negative,-0.14848055180944308,2.5983019049849927e-59
PubMed,feature_similar_cross_class,0,raw_grad,0.7030181543053344,positive,0.2963063881749952,0.0
PubMed,feature_similar_cross_class,0,pos_grad,0.7064808558922739,positive,0.30136022488568126,0.0
PubMed,feature_similar_cross_class,0,hybrid,0.9314167689844457,negative,-0.6296557322067319,0.0
PubMed,feature_similar_cross_class,1,raw_grad,0.6898087911597954,positive,0.27702723209133867,0.0
PubMed,feature_similar_cross_class,1,pos_grad,0.6966299290153928,positive,0.2869827295618981,0.0
PubMed,feature_similar_cross_class,1,hybrid,0.9151205620054291,negative,-0.605871306391019,0.0
